spending_id,customer_id,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods
1,0,239.00,10.00,554.00,254.00,87.00,54.00
2,1,464.00,5.00,64.00,7.00,0.00,37.00
3,9,57.00,0.00,27.00,0.00,0.00,36.00
4,13,19.00,0.00,5.00,0.00,0.00,8.00
5,17,637.00,47.00,237.00,12.00,19.00,76.00
6,20,43.00,12.00,23.00,29.00,15.00,61.00
7,22,185.00,2.00,88.00,15.00,5.00,14.00
8,24,18.00,2.00,19.00,0.00,2.00,6.00
9,25,460.00,35.00,422.00,33.00,12.00,153.00
10,35,32.00,1.00,64.00,16.00,12.00,85.00
11,48,136.00,1.00,12.00,0.00,3.00,32.00
12,49,2.00,3.00,6.00,4.00,1.00,9.00
13,55,509.00,0.00,65.00,7.00,11.00,5.00
14,67,68.00,0.00,16.00,0.00,0.00,8.00
15,73,14.00,0.00,3.00,0.00,0.00,1.00
16,75,34.00,11.00,137.00,179.00,61.00,45.00
17,78,15.00,0.00,11.00,0.00,2.00,9.00
18,87,0.00,7.00,5.00,26.00,2.00,17.00
19,89,5.00,9.00,20.00,6.00,8.00,21.00
20,92,5.00,7.00,24.00,19.00,14.00,20.00
21,113,11.00,0.00,7.00,3.00,1.00,6.00
22,115,275.00,11.00,68.00,25.00,7.00,7.00
23,123,544.00,35.00,133.00,23.00,151.00,107.00
24,125,215.00,7.00,33.00,3.00,0.00,13.00
25,143,466.00,0.00,224.00,119.00,49.00,99.00
26,146,760.00,53.00,400.00,17.00,93.00,0.00
27,153,19.00,3.00,6.00,4.00,2.00,12.00
28,158,345.00,53.00,528.00,98.00,75.00,97.00
29,164,206.00,0.00,46.00,3.00,2.00,12.00
30,175,656.00,80.00,455.00,52.00,107.00,93.00
31,176,90.00,38.00,67.00,33.00,36.00,67.00
32,178,478.00,0.00,193.00,110.00,75.00,117.00
33,182,284.00,0.00,55.00,0.00,6.00,52.00
34,193,0.00,0.00,2.00,3.00,3.00,8.00
35,194,23.00,0.00,11.00,3.00,2.00,2.00
36,195,125.00,17.00,52.00,3.00,19.00,30.00
37,199,219.00,3.00,60.00,12.00,9.00,12.00
38,202,332.00,194.00,377.00,149.00,125.00,57.00
39,203,1288.00,20.00,613.00,80.00,61.00,27.00
40,213,35.00,0.00,11.00,0.00,0.00,2.00
41,217,556.00,14.00,717.00,210.00,0.00,43.00
42,221,138.00,3.00,38.00,4.00,0.00,59.00
43,231,24.00,0.00,7.00,0.00,0.00,1.00
44,232,279.00,83.00,88.00,32.00,14.00,34.00
45,234,1.00,2.00,8.00,4.00,3.00,13.00
46,236,28.00,23.00,29.00,29.00,14.00,47.00
47,238,515.00,47.00,181.00,149.00,95.00,95.00
48,241,901.00,31.00,345.00,75.00,31.00,191.00
49,246,199.00,9.00,57.00,20.00,21.00,6.00
50,247,172.00,10.00,125.00,21.00,13.00,16.00
51,252,123.00,133.00,142.00,71.00,44.00,88.00
52,254,399.00,4.00,30.00,6.00,4.00,30.00
53,255,17.00,0.00,2.00,0.00,0.00,2.00
54,257,952.00,12.00,180.00,47.00,12.00,12.00
55,263,56.00,19.00,29.00,2.00,14.00,25.00
56,269,777.00,30.00,163.00,0.00,51.00,122.00
57,271,154.00,0.00,50.00,6.00,11.00,37.00
58,273,130.00,0.00,16.00,0.00,0.00,5.00
59,274,9.00,3.00,15.00,2.00,3.00,2.00
60,286,95.00,11.00,35.00,0.00,4.00,7.00
61,291,182.00,74.00,298.00,162.00,149.00,116.00
62,295,493.00,70.00,324.00,146.00,40.00,84.00
63,304,19.00,3.00,19.00,4.00,5.00,26.00
64,309,918.00,21.00,118.00,13.00,10.00,21.00
65,310,330.00,5.00,159.00,36.00,27.00,16.00
66,313,901.00,61.00,757.00,186.00,163.00,20.00
67,322,29.00,1.00,11.00,0.00,0.00,0.00
68,326,235.00,6.00,45.00,8.00,9.00,12.00
69,332,198.00,2.00,43.00,0.00,12.00,20.00
70,339,462.00,0.00,24.00,6.00,0.00,4.00
71,340,158.00,35.00,179.00,0.00,0.00,125.00
72,347,229.00,27.00,71.00,13.00,3.00,34.00
73,359,373.00,14.00,83.00,6.00,9.00,19.00
74,361,5.00,1.00,7.00,2.00,1.00,4.00
75,367,47.00,90.00,94.00,123.00,103.00,120.00
76,368,91.00,65.00,52.00,10.00,44.00,28.00
77,375,516.00,56.00,449.00,86.00,33.00,16.00
78,378,283.00,112.00,151.00,51.00,72.00,125.00
79,380,1170.00,48.00,320.00,42.00,32.00,192.00
80,387,6.00,16.00,11.00,11.00,1.00,16.00
81,405,315.00,0.00,31.00,4.00,0.00,91.00
82,425,374.00,64.00,116.00,84.00,25.00,64.00
83,433,534.00,5.00,47.00,0.00,5.00,41.00
84,437,294.00,142.00,218.00,164.00,58.00,151.00
85,448,308.00,85.00,137.00,102.00,45.00,118.00
86,450,67.00,15.00,80.00,17.00,11.00,80.00
87,451,9.00,0.00,7.00,2.00,0.00,4.00
88,453,27.00,0.00,12.00,0.00,1.00,5.00
89,454,824.00,32.00,162.00,42.00,32.00,43.00
90,455,102.00,9.00,63.00,2.00,9.00,24.00
91,456,1.00,11.00,5.00,4.00,6.00,9.00
92,460,792.00,86.00,740.00,67.00,51.00,17.00
93,466,388.00,14.00,218.00,91.00,14.00,21.00
94,477,1060.00,61.00,835.00,80.00,20.00,101.00
95,486,434.00,137.00,400.00,45.00,137.00,45.00
96,492,322.00,3.00,50.00,4.00,3.00,42.00
97,498,25.00,0.00,22.00,2.00,3.00,5.00
98,500,908.00,43.00,735.00,40.00,194.00,21.00
99,503,13.00,1.00,29.00,3.00,0.00,7.00
100,520,3.00,3.00,7.00,6.00,2.00,9.00
101,521,174.00,77.00,203.00,6.00,24.00,97.00
102,523,23.00,0.00,26.00,7.00,15.00,3.00
103,524,2.00,23.00,11.00,8.00,6.00,46.00
104,528,267.00,38.00,701.00,149.00,165.00,63.00
105,531,941.00,14.00,397.00,76.00,58.00,176.00
106,535,163.00,23.00,424.00,27.00,65.00,76.00
107,538,31.00,9.00,27.00,16.00,9.00,33.00
108,544,398.00,61.00,265.00,138.00,61.00,53.00
109,550,243.00,131.00,217.00,85.00,6.00,26.00
110,564,746.00,8.00,125.00,11.00,8.00,8.00
111,569,704.00,129.00,853.00,120.00,74.00,111.00
112,574,14.00,36.00,11.00,3.00,26.00,35.00
113,577,9.00,1.00,7.00,0.00,3.00,2.00
114,590,816.00,66.00,549.00,216.00,66.00,99.00
115,591,293.00,35.00,179.00,46.00,59.00,65.00
116,606,6.00,1.00,2.00,2.00,0.00,4.00
117,607,302.00,29.00,131.00,32.00,0.00,27.00
118,610,349.00,4.00,78.00,6.00,0.00,43.00
119,615,65.00,36.00,74.00,38.00,20.00,110.00
120,618,422.00,7.00,238.00,69.00,46.00,15.00
121,624,6.00,4.00,1.00,7.00,2.00,15.00
122,626,22.00,2.00,12.00,0.00,2.00,5.00
123,635,464.00,5.00,64.00,7.00,0.00,70.00
124,640,356.00,80.00,329.00,138.00,17.00,106.00
125,641,59.00,0.00,12.00,0.00,0.00,48.00
126,642,1.00,3.00,2.00,20.00,30.00,47.00
127,663,40.00,2.00,15.00,8.00,0.00,6.00
